SimulationID,NodeID,NodeType,EnergyConsumed
1,156,Relay/Other,"26,60668"
1,157,Relay/Other,"57,26127"
1,158,Relay/Other,"26,38769"
1,159,Relay/Other,"40,42595"
1,160,Relay/Other,"34,61706"
1,161,Relay/Other,"118,12443"
1,162,Relay/Other,"69,01993"
1,163,Relay/Other,"79,78815"
1,164,Relay/Other,"28,22947"
1,165,Relay/Other,"49,12102"
1,166,Relay/Other,"55,73683"
1,167,Relay/Other,"36,53602"
1,168,Relay/Other,"36,85742"
1,169,Relay/Other,"125,24912"
1,170,Relay/Other,"32,65437"
1,171,Relay/Other,"91,88534"
1,172,Relay/Other,"80,46741"
1,173,Relay/Other,"68,56031"
1,174,Relay/Other,"65,13392"
1,175,Relay/Other,"96,03884"
1,176,Relay/Other,"54,43453"
1,177,Relay/Other,"48,25157"
1,178,Relay/Other,"95,31506"
1,179,Relay/Other,"22,81541"
1,180,Relay/Other,"42,13418"
1,181,Relay/Other,"32,36658"
1,182,Relay/Other,"95,94307"
1,183,Relay/Other,"44,92381"
1,184,Relay/Other,"48,10560"
1,185,Relay/Other,"123,98292"
1,186,Relay/Other,"129,23564"
1,187,Relay/Other,"30,06070"
1,188,Relay/Other,"36,96002"
1,189,Relay/Other,"76,62503"
1,190,Relay/Other,"41,61194"
1,191,Relay/Other,"65,19093"
1,192,Relay/Other,"32,54258"
1,193,Relay/Other,"69,51166"
1,194,Relay/Other,"77,68579"
1,195,Relay/Other,"87,15768"
1,196,Relay/Other,"27,51906"
1,197,Relay/Other,"134,77167"
1,198,Relay/Other,"23,55514"
1,199,Relay/Other,"46,65450"
1,200,Relay/Other,"84,93952"
2,1,Client,"1605,09909"
2,2,Client,"2375,21557"
2,3,Client,"1856,35978"
2,4,Client,"1415,94962"
2,5,Client,"1049,06954"
2,6,Client,"593,93817"
2,7,Client,"1102,37470"
2,8,Client,"838,88878"
2,9,Client,"1379,70940"
2,10,Client,"1183,18935"
2,11,Client,"1895,05090"
2,12,Client,"1675,24175"
2,13,Client,"2503,58754"
2,14,Client,"1551,62815"
2,15,Client,"952,59548"
2,16,Client,"658,74066"
2,17,Malicious Server,"98,01795"
2,18,Malicious Server,"29,51161"
2,19,Malicious Server,"129,09808"
2,20,Malicious Server,"94,66060"
2,21,Malicious Server,"78,94735"
2,22,Malicious Server,"53,92352"
2,23,Malicious Server,"156,88247"
2,24,Malicious Server,"95,87909"
2,25,Malicious Server,"46,46253"
2,26,Malicious Server,"52,34483"
2,27,Malicious Server,"147,13624"
2,28,Malicious Server,"132,36010"
2,29,Malicious Server,"88,00814"
2,30,Malicious Server,"151,95341"
2,31,Benevolent Server,"39,63021"
2,32,Benevolent Server,"91,82002"
2,33,Benevolent Server,"24,43170"
2,34,Benevolent Server,"62,68883"
2,35,Benevolent Server,"77,22430"
2,36,Benevolent Server,"91,50023"
2,37,Benevolent Server,"14,40823"
2,38,Benevolent Server,"140,80968"
2,39,Benevolent Server,"120,08419"
2,40,Benevolent Server,"14,78084"
2,41,Benevolent Server,"58,33775"
2,42,Benevolent Server,"126,33112"
2,43,Benevolent Server,"33,69204"
2,44,Benevolent Server,"94,00506"
2,45,Benevolent Server,"66,96774"
2,46,Benevolent Server,"91,34387"
2,47,Benevolent Server,"25,49130"
2,48,Benevolent Server,"20,49930"
2,49,Benevolent Server,"54,19072"
2,50,Benevolent Server,"54,77505"
2,51,Benevolent Server,"35,01776"
2,52,Benevolent Server,"134,19429"
2,53,Benevolent Server,"69,10297"
2,54,Benevolent Server,"115,51109"
2,55,Benevolent Server,"38,85925"
2,56,Benevolent Server,"36,95739"
2,57,Benevolent Server,"46,53120"
2,58,Benevolent Server,"31,04054"
2,59,Benevolent Server,"69,05504"
2,60,Benevolent Server,"98,91871"
2,61,Benevolent Server,"131,51958"
2,62,Benevolent Server,"118,45796"
2,63,Benevolent Server,"131,29781"
2,64,Benevolent Server,"39,17767"
2,65,Benevolent Server,"54,98092"
2,66,Benevolent Server,"41,67538"
2,67,Benevolent Server,"22,68494"
2,68,Benevolent Server,"60,79182"
2,69,Benevolent Server,"57,71376"
2,70,Benevolent Server,"48,81826"
2,71,Relay/Other,"45,90671"
2,72,Relay/Other,"81,00908"
2,73,Relay/Other,"22,95946"
2,74,Relay/Other,"22,29885"
2,75,Relay/Other,"140,70883"
2,76,Relay/Other,"75,93732"
2,77,Relay/Other,"34,68100"
2,78,Relay/Other,"66,14595"
2,79,Relay/Other,"103,33108"
2,80,Relay/Other,"41,49600"
2,81,Relay/Other,"61,54975"
2,82,Relay/Other,"76,85286"
2,83,Relay/Other,"53,15606"
2,84,Relay/Other,"102,68714"
2,85,Relay/Other,"31,93912"
2,86,Relay/Other,"85,56712"
2,87,Relay/Other,"35,06415"
2,88,Relay/Other,"73,34372"
2,89,Relay/Other,"65,77591"
2,90,Relay/Other,"13,92112"
2,91,Relay/Other,"35,23951"
2,92,Relay/Other,"90,52020"
2,93,Relay/Other,"65,55576"
2,94,Relay/Other,"39,66712"
2,95,Relay/Other,"66,56135"
2,96,Relay/Other,"46,40112"
2,97,Relay/Other,"27,84649"
2,98,Relay/Other,"43,39573"
2,99,Relay/Other,"39,92410"
2,100,Relay/Other,"25,35400"
2,101,Relay/Other,"67,10542"
2,102,Relay/Other,"111,60058"
2,103,Relay/Other,"89,83380"
2,104,Relay/Other,"92,64546"
2,105,Relay/Other,"21,17173"
2,106,Relay/Other,"96,52755"
2,107,Relay/Other,"33,67637"
2,108,Relay/Other,"90,20601"
2,109,Relay/Other,"48,59075"
2,110,Relay/Other,"50,19567"
2,111,Relay/Other,"23,03301"
2,112,Relay/Other,"15,40765"
2,113,Relay/Other,"16,36443"
2,114,Relay/Other,"44,03461"
2,115,Relay/Other,"51,34797"
2,116,Relay/Other,"17,38803"
2,117,Relay/Other,"18,78242"
2,118,Relay/Other,"63,18845"
2,119,Relay/Other,"50,00441"
2,120,Relay/Other,"67,22682"
2,121,Relay/Other,"39,28203"
2,122,Relay/Other,"43,52030"
2,123,Relay/Other,"54,34637"
2,124,Relay/Other,"121,51878"
2,125,Relay/Other,"36,30635"
2,126,Relay/Other,"127,99712"
2,127,Relay/Other,"34,60813"
2,128,Relay/Other,"98,58191"
2,129,Relay/Other,"38,17645"
2,130,Relay/Other,"104,54476"
2,131,Relay/Other,"44,45579"
2,132,Relay/Other,"27,00814"
2,133,Relay/Other,"75,92211"
2,134,Relay/Other,"90,22844"
2,135,Relay/Other,"56,69200"
2,136,Relay/Other,"69,96707"
2,137,Relay/Other,"83,50436"
2,138,Relay/Other,"90,76568"
2,139,Relay/Other,"51,86465"
2,140,Relay/Other,"63,33076"
2,141,Relay/Other,"104,62003"
2,142,Relay/Other,"22,29965"
2,143,Relay/Other,"15,63110"
2,144,Relay/Other,"105,55052"
2,145,Relay/Other,"111,12646"
2,146,Relay/Other,"21,87990"
2,147,Relay/Other,"84,15976"
2,148,Relay/Other,"58,19215"
2,149,Relay/Other,"38,37461"
2,150,Relay/Other,"67,33920"
2,151,Relay/Other,"81,13960"
2,152,Relay/Other,"21,81141"
2,153,Relay/Other,"86,57639"
2,154,Relay/Other,"39,10585"
2,155,Relay/Other,"40,10451"
2,156,Relay/Other,"86,26066"
2,157,Relay/Other,"72,66104"
2,158,Relay/Other,"38,15412"
2,159,Relay/Other,"34,26827"
2,160,Relay/Other,"57,86862"
2,161,Relay/Other,"51,86243"
2,162,Relay/Other,"71,03060"
2,163,Relay/Other,"33,46298"
2,164,Relay/Other,"46,50254"
2,165,Relay/Other,"67,53309"
2,166,Relay/Other,"35,67625"
2,167,Relay/Other,"65,32211"
2,168,Relay/Other,"48,12066"
2,169,Relay/Other,"27,91814"
2,170,Relay/Other,"73,64790"
2,171,Relay/Other,"56,11152"
2,172,Relay/Other,"87,27912"
2,173,Relay/Other,"32,80322"
2,174,Relay/Other,"99,63517"
2,175,Relay/Other,"51,05771"
2,176,Relay/Other,"23,34476"
2,177,Relay/Other,"50,93395"
2,178,Relay/Other,"11,66789"
2,179,Relay/Other,"58,12220"
2,180,Relay/Other,"25,44489"
2,181,Relay/Other,"66,17542"
2,182,Relay/Other,"45,87049"
2,183,Relay/Other,"39,53485"
2,184,Relay/Other,"31,31358"
2,185,Relay/Other,"112,47017"
2,186,Relay/Other,"60,83004"
2,187,Relay/Other,"126,26348"
2,188,Relay/Other,"103,02245"
2,189,Relay/Other,"87,03029"
2,190,Relay/Other,"44,96017"
2,191,Relay/Other,"60,96356"
2,192,Relay/Other,"55,58313"
2,193,Relay/Other,"64,99977"
2,194,Relay/Other,"20,50995"
2,195,Relay/Other,"17,63799"
2,196,Relay/Other,"49,11212"
2,197,Relay/Other,"23,71601"
2,198,Relay/Other,"43,64844"
2,199,Relay/Other,"44,48198"
2,200,Relay/Other,"55,88648"
3,1,Client,"1348,00725"
3,2,Client,"757,04577"
3,3,Client,"2819,33274"
3,4,Client,"1309,11563"
3,5,Client,"2092,83522"
3,6,Client,"686,34001"
3,7,Client,"1146,15088"
3,8,Client,"1703,80280"
3,9,Client,"1231,14414"
3,10,Client,"576,88924"
3,11,Client,"3295,46583"
3,12,Client,"1336,41529"
3,13,Client,"1202,02410"
3,14,Client,"572,78217"
3,15,Client,"649,77949"
