scenario_id,num_sensors,num_networks,num_executions,gather_calls,gather_ms,matrix_fill_calls,matrix_fill_ms,score_calls,score_ms,power_iterations,provider_selection_calls,provider_selection_ms,provider_path_checks,transaction_calls,transaction_ms
large-scale-fast-peertrust,250,1,3,750,1573,750,1483,750,42,750,750,3,88146,750,2
large-scale-fast-peertrust,500,1,3,1500,10238,1500,9741,1500,467,1500,1500,8,275448,1500,5
large-scale-fast-peertrust,1000,1,3,3000,86388,3000,83518,3000,5780,3000,3000,25,1147851,3000,17
